scene,view,candidate,pos_x,pos_y,pos_z,target_x,target_y,target_z,up_x,up_y,up_z,focal,dir_x,dir_y,dir_z,screen_res,hit_fraction,median_hit_over_diagonal,p10_hit_over_diagonal,scene_diagonal,oracle_rays_per_rayset,oracle_rays_per_block,frozen_by,frozen_on
intel-sponza.obj,A,0,-557.800659,-323.061493,-185.507996,-351.455750,-231.991867,-233.778076,0.000000,1.000000,0.000000,50.000,0.894603,0.394830,-0.209274,64,1.00000,0.05519,0.03586,1719.002808,7168,28,phase0_2026_09_01,2026-09-01
intel-sponza.obj,B,1,-353.610291,-236.653381,-226.340622,-297.571625,27.589741,-135.028412,0.000000,1.000000,0.000000,50.000,0.196533,0.926726,0.320241,64,1.00000,0.08135,0.07171,1719.002808,7168,28,phase0_2026_09_01,2026-09-01
intel-sponza.obj,C,6,-369.184174,-14.497621,-226.940140,-289.073914,20.894575,-3.952951,0.000000,1.000000,0.000000,50.000,0.334393,0.147732,0.930783,64,1.00000,0.13730,0.06644,1719.002808,7168,28,phase0_2026_09_01,2026-09-01
san-miguel.obj,A,0,-21.493711,4.492008,5.214732,6.035697,1.005987,-2.644687,0.000000,1.000000,0.000000,50.000,0.954530,-0.120871,-0.272511,64,0.98999,0.26007,0.19229,75.647339,1536,6,phase0_2026_09_01,2026-09-01
san-miguel.obj,B,5,7.616316,1.127964,-1.516448,7.700650,3.454993,-1.740410,0.000000,0.000000,1.000000,50.000,0.036051,0.994753,-0.095739,64,1.00000,0.05695,0.02843,75.647339,1536,6,phase0_2026_09_01,2026-09-01
san-miguel.obj,C,50,11.991792,0.986081,-1.921503,17.967867,0.533675,3.747573,0.000000,1.000000,0.000000,50.000,0.724404,-0.054840,0.687191,64,1.00000,0.06806,0.02610,75.647339,1536,6,phase0_2026_09_01,2026-09-01
hairball.obj,A,0,-2.992759,-2.388834,-2.504398,-1.845039,-0.752879,-3.544760,0.000000,1.000000,0.000000,50.000,0.509421,0.726126,-0.461770,64,0.60571,0.09515,0.04766,15.914934,7168,28,phase0_2026_09_01,2026-09-01
hairball.obj,B,6,-0.746124,-1.054147,-4.077106,1.661885,-3.647074,-1.471058,0.000000,1.000000,0.000000,50.000,0.547937,-0.590014,0.593000,64,0.79639,0.08666,0.06288,15.914934,7168,28,phase0_2026_09_01,2026-09-01
hairball.obj,C,37,-3.652245,0.222315,-2.104643,0.259219,0.968646,-2.545070,0.000000,1.000000,0.000000,50.000,0.976325,0.186289,-0.109933,64,0.99316,0.05438,0.02376,15.914934,7168,28,phase0_2026_09_01,2026-09-01
bistro.obj,A,1,-27.255756,2.791340,-20.494650,-20.353291,3.207309,-18.569973,0.000000,1.000000,0.000000,50.000,0.961635,0.057952,0.268141,64,1.00000,0.06716,0.04762,161.551651,7168,28,phase0_2026_09_01,2026-09-01
bistro.obj,B,28,-23.676586,15.031267,-9.973138,-20.579361,3.206139,-18.589823,0.000000,1.000000,0.000000,50.000,0.207093,-0.790676,-0.576146,64,0.99780,0.11553,0.09298,161.551651,7168,28,phase0_2026_09_01,2026-09-01
bistro.obj,C,31,-2.961967,4.534201,-17.522375,-4.600842,3.932216,-6.782835,0.000000,1.000000,0.000000,50.000,-0.150625,-0.055327,0.987042,64,0.94458,0.15148,0.09040,161.551651,7168,28,phase0_2026_09_01,2026-09-01
