run_id,scene,ray_distribution,score_a,score_b,win_rate_a,win_rate_b,delta,delta_ci_lo,delta_ci_hi,a_beats_b,bootstrap_resamples,bootstrap_seed,cluster_unit,cluster_population,pairing
d1_large_sampled_2026_08_31,bistro.obj,diffuse_1,directional,box_projected_ratio,0.607960,0.541445,0.066515,0.047287,0.084425,yes,1000,0xD1A70000D1A70000,ray,2478,paired
d1_large_sampled_2026_08_31,bistro.obj,diffuse_1,directional,surface_density,0.607960,0.598847,0.009113,0.001152,0.017456,yes,1000,0xD1A70000D1A70000,ray,2478,paired
d1_large_sampled_2026_08_31,bistro.obj,diffuse_1,directional,primitive_count,0.607960,0.509460,0.098500,0.080435,0.117643,yes,1000,0xD1A70000D1A70000,ray,2478,paired
d1_large_sampled_2026_08_31,bistro.obj,incoherent,directional,box_projected_ratio,0.595266,0.549592,0.045674,0.040246,0.050893,yes,1000,0xD1A70000D1A70000,ray,32768,paired
d1_large_sampled_2026_08_31,bistro.obj,incoherent,directional,surface_density,0.595266,0.585484,0.009781,0.007499,0.012172,yes,1000,0xD1A70000D1A70000,ray,32768,paired
d1_large_sampled_2026_08_31,bistro.obj,incoherent,directional,primitive_count,0.595266,0.481137,0.114128,0.109014,0.119300,yes,1000,0xD1A70000D1A70000,ray,32768,paired
d1_large_sampled_2026_08_31,bistro.obj,primary,directional,box_projected_ratio,0.597149,0.569919,0.027229,0.011780,0.044448,yes,1000,0xD1A70000D1A70000,ray,16384,paired
d1_large_sampled_2026_08_31,bistro.obj,primary,directional,surface_density,0.597149,0.591718,0.005431,-0.001491,0.012382,inconclusive,1000,0xD1A70000D1A70000,ray,16384,paired
d1_large_sampled_2026_08_31,bistro.obj,primary,directional,primitive_count,0.597149,0.425844,0.171305,0.155743,0.187549,yes,1000,0xD1A70000D1A70000,ray,16384,paired
d1_large_sampled_2026_08_31,bistro.obj,shadow_ao,directional,box_projected_ratio,0.592667,0.557681,0.034986,0.015092,0.057475,yes,1000,0xD1A70000D1A70000,ray,2478,paired
d1_large_sampled_2026_08_31,bistro.obj,shadow_ao,directional,surface_density,0.592667,0.594977,-0.002309,-0.011666,0.006297,inconclusive,1000,0xD1A70000D1A70000,ray,2478,paired
d1_large_sampled_2026_08_31,bistro.obj,shadow_ao,directional,primitive_count,0.592667,0.481508,0.111160,0.087399,0.134990,yes,1000,0xD1A70000D1A70000,ray,2478,paired
d1_large_sampled_2026_08_31,hairball.obj,diffuse_1,directional,box_projected_ratio,0.582929,0.510780,0.072149,0.063173,0.081489,yes,1000,0xD1A70000D1A70000,ray,4518,paired
d1_large_sampled_2026_08_31,hairball.obj,diffuse_1,directional,surface_density,0.582929,0.575555,0.007374,0.003715,0.011350,yes,1000,0xD1A70000D1A70000,ray,4518,paired
d1_large_sampled_2026_08_31,hairball.obj,diffuse_1,directional,primitive_count,0.582929,0.563615,0.019314,0.013182,0.025798,yes,1000,0xD1A70000D1A70000,ray,4518,paired
d1_large_sampled_2026_08_31,hairball.obj,incoherent,directional,box_projected_ratio,0.584996,0.519352,0.065644,0.062182,0.069516,yes,1000,0xD1A70000D1A70000,ray,32768,paired
d1_large_sampled_2026_08_31,hairball.obj,incoherent,directional,surface_density,0.584996,0.577206,0.007790,0.006412,0.009235,yes,1000,0xD1A70000D1A70000,ray,32768,paired
d1_large_sampled_2026_08_31,hairball.obj,incoherent,directional,primitive_count,0.584996,0.576443,0.008553,0.005865,0.011309,yes,1000,0xD1A70000D1A70000,ray,32768,paired
d1_large_sampled_2026_08_31,hairball.obj,primary,directional,box_projected_ratio,0.585260,0.516230,0.069030,0.060081,0.078329,yes,1000,0xD1A70000D1A70000,ray,16384,paired
d1_large_sampled_2026_08_31,hairball.obj,primary,directional,surface_density,0.585260,0.577087,0.008173,0.005272,0.011415,yes,1000,0xD1A70000D1A70000,ray,16384,paired
d1_large_sampled_2026_08_31,hairball.obj,primary,directional,primitive_count,0.585260,0.574171,0.011089,0.004844,0.017738,yes,1000,0xD1A70000D1A70000,ray,16384,paired
d1_large_sampled_2026_08_31,hairball.obj,shadow_ao,directional,box_projected_ratio,0.585915,0.513551,0.072364,0.062844,0.082231,yes,1000,0xD1A70000D1A70000,ray,4518,paired
d1_large_sampled_2026_08_31,hairball.obj,shadow_ao,directional,surface_density,0.585915,0.580689,0.005227,0.001263,0.009268,yes,1000,0xD1A70000D1A70000,ray,4518,paired
d1_large_sampled_2026_08_31,hairball.obj,shadow_ao,directional,primitive_count,0.585915,0.567247,0.018669,0.012352,0.025828,yes,1000,0xD1A70000D1A70000,ray,4518,paired
d1_large_sampled_2026_08_31,intel-sponza.obj,diffuse_1,directional,box_projected_ratio,0.554432,0.461278,0.093154,0.065137,0.120208,yes,1000,0xD1A70000D1A70000,ray,9142,paired
d1_large_sampled_2026_08_31,intel-sponza.obj,diffuse_1,directional,surface_density,0.554432,0.540645,0.013787,-0.004644,0.031890,inconclusive,1000,0xD1A70000D1A70000,ray,9142,paired
d1_large_sampled_2026_08_31,intel-sponza.obj,diffuse_1,directional,primitive_count,0.554432,0.536712,0.017719,-0.013368,0.045262,inconclusive,1000,0xD1A70000D1A70000,ray,9142,paired
d1_large_sampled_2026_08_31,intel-sponza.obj,incoherent,directional,box_projected_ratio,0.586730,0.490058,0.096672,0.092689,0.100679,yes,1000,0xD1A70000D1A70000,ray,32768,paired
d1_large_sampled_2026_08_31,intel-sponza.obj,incoherent,directional,surface_density,0.586730,0.595888,-0.009158,-0.011488,-0.006515,no,1000,0xD1A70000D1A70000,ray,32768,paired
d1_large_sampled_2026_08_31,intel-sponza.obj,incoherent,directional,primitive_count,0.586730,0.528495,0.058236,0.054203,0.062634,yes,1000,0xD1A70000D1A70000,ray,32768,paired
d1_large_sampled_2026_08_31,intel-sponza.obj,primary,directional,box_projected_ratio,0.592508,0.598748,-0.006240,-0.016980,0.004562,inconclusive,1000,0xD1A70000D1A70000,ray,16384,paired
d1_large_sampled_2026_08_31,intel-sponza.obj,primary,directional,surface_density,0.592508,0.638079,-0.045572,-0.053285,-0.037211,no,1000,0xD1A70000D1A70000,ray,16384,paired
d1_large_sampled_2026_08_31,intel-sponza.obj,primary,directional,primitive_count,0.592508,0.485782,0.106725,0.093954,0.119800,yes,1000,0xD1A70000D1A70000,ray,16384,paired
d1_large_sampled_2026_08_31,intel-sponza.obj,shadow_ao,directional,box_projected_ratio,0.539818,0.461943,0.077875,0.073164,0.082126,yes,1000,0xD1A70000D1A70000,ray,585026,paired
d1_large_sampled_2026_08_31,intel-sponza.obj,shadow_ao,directional,surface_density,0.539818,0.536983,0.002835,-0.000221,0.006058,inconclusive,1000,0xD1A70000D1A70000,ray,585026,paired
d1_large_sampled_2026_08_31,intel-sponza.obj,shadow_ao,directional,primitive_count,0.539818,0.531485,0.008333,0.003535,0.012921,yes,1000,0xD1A70000D1A70000,ray,585026,paired
d1_large_sampled_2026_08_31,san-miguel.obj,diffuse_1,directional,box_projected_ratio,0.586093,0.514511,0.071583,0.068219,0.075142,yes,1000,0xD1A70000D1A70000,ray,255358,paired
d1_large_sampled_2026_08_31,san-miguel.obj,diffuse_1,directional,surface_density,0.586093,0.589066,-0.002972,-0.004832,-0.001148,no,1000,0xD1A70000D1A70000,ray,255358,paired
d1_large_sampled_2026_08_31,san-miguel.obj,diffuse_1,directional,primitive_count,0.586093,0.475453,0.110641,0.105917,0.115000,yes,1000,0xD1A70000D1A70000,ray,255358,paired
d1_large_sampled_2026_08_31,san-miguel.obj,incoherent,directional,box_projected_ratio,0.584131,0.489194,0.094937,0.090595,0.099327,yes,1000,0xD1A70000D1A70000,ray,32768,paired
d1_large_sampled_2026_08_31,san-miguel.obj,incoherent,directional,surface_density,0.584131,0.576104,0.008027,0.006107,0.009884,yes,1000,0xD1A70000D1A70000,ray,32768,paired
d1_large_sampled_2026_08_31,san-miguel.obj,incoherent,directional,primitive_count,0.584131,0.476595,0.107536,0.103159,0.112212,yes,1000,0xD1A70000D1A70000,ray,32768,paired
d1_large_sampled_2026_08_31,san-miguel.obj,primary,directional,box_projected_ratio,0.596548,0.557268,0.039280,0.024778,0.052869,yes,1000,0xD1A70000D1A70000,ray,16384,paired
d1_large_sampled_2026_08_31,san-miguel.obj,primary,directional,surface_density,0.596548,0.593611,0.002937,-0.001169,0.006911,inconclusive,1000,0xD1A70000D1A70000,ray,16384,paired
d1_large_sampled_2026_08_31,san-miguel.obj,primary,directional,primitive_count,0.596548,0.400087,0.196462,0.178936,0.213337,yes,1000,0xD1A70000D1A70000,ray,16384,paired
d1_large_sampled_2026_08_31,san-miguel.obj,shadow_ao,directional,box_projected_ratio,0.580947,0.423242,0.157704,0.152953,0.162691,yes,1000,0xD1A70000D1A70000,ray,255358,paired
d1_large_sampled_2026_08_31,san-miguel.obj,shadow_ao,directional,surface_density,0.580947,0.561213,0.019734,0.017401,0.022074,yes,1000,0xD1A70000D1A70000,ray,255358,paired
