run_id,git_commit,dirty,scene,scene_sha256,builder,layout,mode,ray_set,ray_seed,rayset_hash,query_kind,ratio_bin,candidate_count,relevant_hit_count,false_positive_count,invalid_count,probe_node_steps,probe_prim_steps,probe_box_tests,probe_tri_tests,false_positive_node_steps,false_positive_prim_steps,false_positive_box_tests,false_positive_tri_tests,source_analytic,source_steps
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,primary,A,8269058876172130199,closest_improves_incumbent,q_00_10,5593,363,5230,0,1620,6435,3240,6435,1389,5982,2778,5982,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,primary,A,8269058876172130199,closest_improves_incumbent,q_10_20,2978,396,2582,0,4046,6145,8092,6145,3467,5331,6934,5331,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,primary,A,8269058876172130199,closest_improves_incumbent,q_20_30,2608,572,2036,0,4765,5447,9530,5447,3607,4227,7214,4227,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,primary,A,8269058876172130199,closest_improves_incumbent,q_30_40,2365,591,1774,0,6369,5175,12738,5175,4264,3641,8528,3641,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,primary,A,8269058876172130199,closest_improves_incumbent,q_40_50,13557,6021,7536,0,8646,16116,17292,16116,4449,8492,8898,8492,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,primary,A,8269058876172130199,closest_improves_incumbent,q_50_60,4715,2146,2569,0,13459,8917,26918,8917,6185,3954,12370,3954,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,primary,A,8269058876172130199,closest_improves_incumbent,q_60_70,4091,1891,2200,0,18546,8109,37092,8109,7407,2515,14814,2515,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,primary,A,8269058876172130199,closest_improves_incumbent,q_70_80,5113,2954,2159,0,27236,11208,54472,11208,8143,2446,16286,2446,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,primary,A,8269058876172130199,closest_improves_incumbent,q_80_90,7568,4438,3130,0,41016,16280,82032,16280,10487,2954,20974,2954,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,primary,A,8269058876172130199,closest_improves_incumbent,q_90_100,20598,17417,3181,0,81233,41370,162466,41370,12854,2546,25708,2546,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,primary,A,8269058876172130199,closest_improves_incumbent,raw_gt_1,70845,54427,16418,0,887597,177225,1775194,177225,105641,11667,211282,11667,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,primary,A,8269058876172130199,closest_improves_incumbent,invalid,0,0,0,0,0,0,0,0,0,0,0,0,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,shadow_ao,A,13059770834929451202,any_occluder_in_range,q_00_10,274230,2731,271499,0,76721,342652,153442,342652,75251,339230,150502,339230,S-analytic,S-probe-counterfactual
