run_id,git_commit,dirty,scene,scene_sha256,triangles,builder,bins,max_leaf_size,layout,mode,threads,nodes,max_depth,ray_set,ray_seed,ray_seed_value,rayset_hash,width,height,incoherent_count,query_kind,validation,rays,rays_with_pairs,parent_visits,candidate_events,candidate_events_in_pair_rows,valid_candidate_events,relevant_hit_events,false_positive_events,invalid_events,saturated_events,invalid_rate,saturation_rate,false_positive_rate,discordant_pairs,directional_correct,directional_ties,directional_accuracy,surface_density_correct,surface_density_ties,surface_density_accuracy,primitive_count_correct,primitive_count_ties,primitive_count_accuracy,box_surface_ratio_correct,box_surface_ratio_ties,box_surface_ratio_accuracy,box_projected_ratio_correct,box_projected_ratio_ties,box_projected_ratio_accuracy,directional_ci_lo,directional_ci_hi,ci_valid,best_control,best_control_accuracy,delta_pp,delta_ci_lo_pp,delta_ci_hi_pp,probe_node_steps,probe_prim_steps,probe_box_tests,probe_tri_tests,false_positive_node_steps,false_positive_prim_steps,false_positive_box_tests,false_positive_tri_tests,trace_node_steps,trace_prim_steps,trace_box_tests,trace_tri_tests,trace_max_stack,trace_hits,support_ok,support_min_valid_events,support_min_pairs,bootstrap_seed,bootstrap_samples,analysis_ms,descriptor_ms,source_analytic,source_probe_steps,source_trace_steps
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,3746948,binned_sah,32,1,bvh2/slot32_aos,robust,1,7493895,31,primary,A,11400714819323198485,8269058876172130199,128,128,16384,closest_improves_incumbent,oracle_sample_match,16384,4571,124248,140031,135246,140031,91216,48815,0,70845,0.000000,0.505924,0.348601,16423,7481,3797,0.455520,8080,3760,0.491993,4493,7174,0.273580,7028,4705,0.427936,7076,4605,0.430859,0.447830,0.463044,1,surface_density,0.491993,-3.6473,-4.2114,-3.0841,1094533,302427,2189066,302427,167893,53755,335786,53755,124248,17267,232112,17267,15,4571,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,44.0,149.0,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,3746948,binned_sah,32,1,bvh2/slot32_aos,robust,1,7493895,31,shadow_ao,A,11400714819323198485,13059770834929451202,1024,1024,16384,any_occluder_in_range,oracle_sample_match,292513,7861,2269343,2387275,436063,2387275,163286,2223989,0,1011919,0.000000,0.423880,0.931602,43359,22530,1545,0.519615,22506,1439,0.519062,16990,11241,0.391845,19628,1634,0.452686,19296,1627,0.445029,0.514864,0.524364,1,surface_density,0.519062,0.0554,-0.3950,0.4836,22119350,7459603,44238700,7459603,19030668,6367294,38061336,6367294,2269343,377971,4246173,377971,13,7866,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,558.0,149.0,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,3746948,binned_sah,32,1,bvh2/slot32_aos,robust,1,7493895,31,shadow_ao,B,14029467366897019727,10273955076000355927,1024,1024,16384,any_occluder_in_range,oracle_sample_match,292513,8088,2269434,2388416,455194,2388416,169111,2219305,0,1011389,0.000000,0.423456,0.929195,45005,23510,1531,0.522386,23405,1427,0.520053,17868,11537,0.397023,20345,1646,0.452061,20013,1642,0.444684,0.517656,0.526960,1,surface_density,0.520053,0.2333,-0.1955,0.6527,22148074,7467786,44296148,7467786,18914586,6306213,37829172,6306213,2269434,377915,4246355,377915,13,8094,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,557.5,149.0,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,3746948,binned_sah,32,1,bvh2/slot32_aos,robust,1,7493895,31,diffuse_1,A,11400714819323198485,6850038901228734019,128,128,16384,closest_improves_incumbent,oracle_sample_match,4571,169,39209,41748,12714,41748,4322,37426,0,17601,0.000000,0.421601,0.896474,1109,593,50,0.534716,563,47,0.507665,419,312,0.377818,493,53,0.444545,510,52,0.459874,0.502691,0.563819,1,surface_density,0.507665,2.7051,0.1736,5.2529,394947,128769,789894,128769,310630,104421,621260,104421,39209,6524,73847,6524,14,169,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,15.2,149.0,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,3746948,binned_sah,32,1,bvh2/slot32_aos,robust,1,7493895,31,diffuse_1,B,14029467366897019727,4471768159497229620,128,128,16384,closest_improves_incumbent,oracle_sample_match,4571,168,38526,40850,11537,40850,4324,36526,0,17548,0.000000,0.429572,0.894149,1073,558,56,0.520037,561,56,0.522833,407,331,0.379310,450,65,0.419385,443,64,0.412861,0.491409,0.546724,1,surface_density,0.522833,-0.2796,-2.8125,2.0755,381794,125001,763588,125001,304571,103930,609142,103930,38526,6337,72481,6337,13,168,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,14.6,149.0,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,3746948,binned_sah,32,1,bvh2/slot32_aos,robust,1,7493895,31,incoherent,A,11400714819323198485,8013385005280786154,128,128,16384,closest_improves_incumbent,oracle_sample_match,16384,15203,505796,566122,551617,566122,303450,262672,0,306946,0.000000,0.542191,0.463985,62149,32428,6803,0.521778,33191,6386,0.534055,22370,19667,0.359941,25568,9360,0.411398,26002,9112,0.418382,0.518072,0.525702,1,surface_density,0.534055,-1.2277,-1.5392,-0.9087,4729614,898959,9459228,898959,1004991,145904,2009982,145904,505796,48214,995208,48214,16,15205,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,186.7,149.0,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,3746948,binned_sah,32,1,bvh2/slot32_aos,robust,1,7493895,31,incoherent,B,14029467366897019727,367347189724506459,128,128,16384,closest_improves_incumbent,oracle_sample_match,16384,15198,497818,556105,541804,556105,301133,254972,0,303553,0.000000,0.545856,0.458496,61379,32066,6804,0.522426,32806,6388,0.534482,22106,19705,0.360156,25249,9481,0.411362,25534,9253,0.416005,0.518570,0.526280,1,surface_density,0.534482,-1.2056,-1.5254,-0.9003,4614550,862699,9229100,862699,969261,135841,1938522,135841,497818,46609,979252,46609,17,15200,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,182.1,149.0,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
d1_large_sampled_2026_08_31,970f092,1,hairball.obj,1fc018d947fbd9d5099dea9bc104ae38a708f25ac2dedeb1f5b722ac79b96465,2880000,binned_sah,32,1,bvh2/slot32_aos,robust,1,5759999,34,primary,A,11400714819323198485,15603933574072774811,128,128,16384,closest_improves_incumbent,oracle_sample_match,16384,2259,326650,408327,325782,408327,59096,349231,0,89950,0.000000,0.220289,0.855273,21411,12531,0,0.585260,12356,0,0.577087,10408,3284,0.486105,11005,0,0.513988,11053,0,0.516230,0.579178,0.591760,1,surface_density,0.577087,0.8173,0.5143,1.1180,4748559,2059440,9497118,2059440,2353627,1077748,4707254,1077748,326650,86142,636916,86142,19,2259,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,197.2,114.2,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
d1_large_sampled_2026_08_31,970f092,1,hairball.obj,1fc018d947fbd9d5099dea9bc104ae38a708f25ac2dedeb1f5b722ac79b96465,2880000,binned_sah,32,1,bvh2/slot32_aos,robust,1,5759999,34,shadow_ao,A,11400714819323198485,6038965400659644694,128,128,16384,any_occluder_in_range,oracle_sample_match,2259,1210,148199,191568,106656,191568,29134,162434,0,40133,0.000000,0.209497,0.847918,9336,5479,0,0.586868,5426,0,0.581191,4436,1486,0.475150,4702,0,0.503642,4815,0,0.515746,0.576923,0.596423,1,surface_density,0.581191,0.5677,0.0428,1.0792,2186908,896498,4373816,896498,1388583,618525,2777166,618525,148199,39015,294139,39015,14,1210,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,68.7,114.2,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
d1_large_sampled_2026_08_31,970f092,1,hairball.obj,1fc018d947fbd9d5099dea9bc104ae38a708f25ac2dedeb1f5b722ac79b96465,2880000,binned_sah,32,1,bvh2/slot32_aos,robust,1,5759999,34,shadow_ao,B,14029467366897019727,12098494441538982105,128,128,16384,any_occluder_in_range,oracle_sample_match,2259,1196,148560,191344,104221,191344,28733,162611,0,39867,0.000000,0.208352,0.849836,9223,5395,0,0.584951,5351,0,0.580180,4400,1496,0.477068,4593,0,0.497994,4716,0,0.511330,0.575811,0.594702,1,surface_density,0.580180,0.4771,-0.0656,0.9927,2180677,880485,4361354,880485,1396197,614423,2792394,614423,148560,38410,294861,38410,13,1197,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,66.2,114.2,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
