run_id,scene,ray_distribution,score_a,score_b,win_rate_a,win_rate_b,delta,delta_ci_lo,delta_ci_hi,a_beats_b,bootstrap_resamples,bootstrap_seed,cluster_unit,cluster_population,pairing
e2e4_2026_09_02,hairball.obj,diffuse_1,directional,box_projected_ratio,0.582929,0.510780,0.072149,0.063173,0.081489,yes,1000,0xD1A70000D1A70000,ray,4518,paired
e2e4_2026_09_02,hairball.obj,diffuse_1,directional,surface_density,0.582929,0.575555,0.007374,0.003715,0.011350,yes,1000,0xD1A70000D1A70000,ray,4518,paired
e2e4_2026_09_02,hairball.obj,diffuse_1,directional,primitive_count,0.582929,0.563615,0.019314,0.013182,0.025798,yes,1000,0xD1A70000D1A70000,ray,4518,paired
e2e4_2026_09_02,hairball.obj,diffuse_1,directional_min_fill,directional_mean_fill,0.566922,0.583795,-0.016873,-0.023101,-0.010484,no,1000,0xD1A70000D1A70000,ray,4518,paired
e2e4_2026_09_02,hairball.obj,diffuse_1,directional_min_fill,box_projected_ratio,0.566922,0.510780,0.056141,0.047816,0.065490,yes,1000,0xD1A70000D1A70000,ray,4518,paired
e2e4_2026_09_02,hairball.obj,diffuse_1,directional_mean_fill,box_projected_ratio,0.583795,0.510780,0.073015,0.063249,0.083334,yes,1000,0xD1A70000D1A70000,ray,4518,paired
e2e4_2026_09_02,hairball.obj,diffuse_1,directional_mean_fill,directional,0.583795,0.582929,0.000866,-0.004303,0.006161,inconclusive,1000,0xD1A70000D1A70000,ray,4518,paired
e2e4_2026_09_02,hairball.obj,diffuse_1,directional_min_fill,directional,0.566922,0.582929,-0.016007,-0.020793,-0.011107,no,1000,0xD1A70000D1A70000,ray,4518,paired
e2e4_2026_09_02,hairball.obj,diffuse_1,directional_mean_fill,surface_density,0.583795,0.575555,0.008239,0.003590,0.013153,yes,1000,0xD1A70000D1A70000,ray,4518,paired
e2e4_2026_09_02,hairball.obj,diffuse_1,directional_mean_fill,primitive_count,0.583795,0.563615,0.020180,0.012751,0.027279,yes,1000,0xD1A70000D1A70000,ray,4518,paired
e2e4_2026_09_02,hairball.obj,diffuse_1,directional_min_fill,surface_density,0.566922,0.575555,-0.008634,-0.013235,-0.003679,no,1000,0xD1A70000D1A70000,ray,4518,paired
e2e4_2026_09_02,hairball.obj,diffuse_1,directional_mean_fill,fill_mean_exp,0.583795,0.572849,0.010946,0.006881,0.014976,yes,1000,0xD1A70000D1A70000,ray,4518,paired
e2e4_2026_09_02,hairball.obj,diffuse_1,fill_min_clamp,directional_min_fill,0.575427,0.566922,0.008506,0.004918,0.012302,yes,1000,0xD1A70000D1A70000,ray,4518,paired
