run_id,git_commit,dirty,scene,ray_set,ray_seed,query_kind,max_depth,parent_depth,is_last_bucket,discordant_pairs,directional_correct,directional_ties,directional_incorrect,directional_win_rate,surface_density_correct,surface_density_ties,surface_density_incorrect,surface_density_win_rate,primitive_count_correct,primitive_count_ties,primitive_count_incorrect,primitive_count_win_rate,box_surface_ratio_correct,box_surface_ratio_ties,box_surface_ratio_incorrect,box_surface_ratio_win_rate,box_projected_ratio_correct,box_projected_ratio_ties,box_projected_ratio_incorrect,box_projected_ratio_win_rate,directional_mean_fill_correct,directional_mean_fill_ties,directional_mean_fill_incorrect,directional_mean_fill_win_rate,directional_min_fill_correct,directional_min_fill_ties,directional_min_fill_incorrect,directional_min_fill_win_rate,fill_mean_clamp_a0_correct,fill_mean_clamp_a0_ties,fill_mean_clamp_a0_incorrect,fill_mean_clamp_a0_win_rate,fill_mean_clamp_a05_correct,fill_mean_clamp_a05_ties,fill_mean_clamp_a05_incorrect,fill_mean_clamp_a05_win_rate,fill_mean_clamp_a2_correct,fill_mean_clamp_a2_ties,fill_mean_clamp_a2_incorrect,fill_mean_clamp_a2_win_rate,fill_mean_exp_correct,fill_mean_exp_ties,fill_mean_exp_incorrect,fill_mean_exp_win_rate,fill_min_clamp_correct,fill_min_clamp_ties,fill_min_clamp_incorrect,fill_min_clamp_win_rate,source
e2e4_2026_09_02,ca4d67f,1,intel-sponza.obj,primary,A,closest_improves_incumbent,31,0,0,516,140,0,376,0.271318,376,0,140,0.728682,376,0,140,0.728682,376,0,140,0.728682,376,0,140,0.728682,0,516,0,,376,0,140,0.728682,0,516,0,,0,516,0,,0,516,0,,376,0,140,0.728682,0,516,0,,S-measured
e2e4_2026_09_02,ca4d67f,1,intel-sponza.obj,primary,A,closest_improves_incumbent,31,1,0,635,525,0,110,0.826772,525,0,110,0.826772,525,0,110,0.826772,525,0,110,0.826772,525,0,110,0.826772,0,635,0,,185,0,450,0.291339,0,635,0,,0,635,0,,0,635,0,,185,0,450,0.291339,0,635,0,,S-measured
e2e4_2026_09_02,ca4d67f,1,intel-sponza.obj,primary,A,closest_improves_incumbent,31,2,0,934,667,0,267,0.714133,667,0,267,0.714133,451,0,483,0.482869,483,0,451,0.517131,483,0,451,0.517131,0,934,0,,667,0,267,0.714133,0,934,0,,0,934,0,,0,934,0,,667,0,267,0.714133,0,934,0,,S-measured
e2e4_2026_09_02,ca4d67f,1,intel-sponza.obj,primary,A,closest_improves_incumbent,31,3,0,770,191,0,579,0.248052,393,0,377,0.510390,211,0,559,0.274026,607,0,163,0.788312,607,0,163,0.788312,147,163,460,0.242175,191,0,579,0.248052,147,163,460,0.242175,147,163,460,0.242175,147,163,460,0.242175,191,0,579,0.248052,147,163,460,0.242175,S-measured
e2e4_2026_09_02,ca4d67f,1,intel-sponza.obj,primary,A,closest_improves_incumbent,31,4,0,888,596,0,292,0.671171,682,0,206,0.768018,595,0,293,0.670045,588,0,300,0.662162,588,0,300,0.662162,348,116,424,0.450777,341,0,547,0.384009,348,116,424,0.450777,348,116,424,0.450777,348,116,424,0.450777,681,0,207,0.766892,322,116,450,0.417098,S-measured
e2e4_2026_09_02,ca4d67f,1,intel-sponza.obj,primary,A,closest_improves_incumbent,31,5,0,802,537,0,265,0.669576,589,0,213,0.734414,252,0,550,0.314214,542,0,260,0.675810,542,0,260,0.675810,445,85,272,0.620642,276,0,526,0.344140,460,85,257,0.641562,445,85,272,0.620642,445,85,272,0.620642,506,0,296,0.630923,228,85,489,0.317992,S-measured
e2e4_2026_09_02,ca4d67f,1,intel-sponza.obj,primary,A,closest_improves_incumbent,31,6,0,759,555,0,204,0.731225,582,0,177,0.766798,401,0,358,0.528327,364,0,395,0.479578,373,0,386,0.491436,598,16,145,0.804845,525,0,234,0.691700,531,16,212,0.714670,539,16,204,0.725437,598,16,145,0.804845,578,0,181,0.761528,519,16,224,0.698520,S-measured
e2e4_2026_09_02,ca4d67f,1,intel-sponza.obj,primary,A,closest_improves_incumbent,31,7,0,539,356,0,183,0.660482,359,0,180,0.666048,238,0,301,0.441558,302,0,237,0.560297,287,0,252,0.532468,335,22,182,0.647969,298,0,241,0.552876,332,22,185,0.642166,336,22,181,0.649903,342,22,175,0.661509,350,0,189,0.649351,296,22,221,0.572534,S-measured
e2e4_2026_09_02,ca4d67f,1,intel-sponza.obj,primary,A,closest_improves_incumbent,31,8,0,533,351,0,182,0.658537,355,0,178,0.666041,235,1,297,0.441729,294,0,239,0.551595,300,0,233,0.562852,374,6,153,0.709677,369,1,163,0.693609,371,6,156,0.703985,375,6,152,0.711575,376,6,151,0.713472,376,0,157,0.705441,368,7,158,0.699620,S-measured
e2e4_2026_09_02,ca4d67f,1,intel-sponza.obj,primary,A,closest_improves_incumbent,31,9,0,1570,444,955,171,0.721951,440,955,175,0.715447,147,1056,367,0.285992,411,1015,144,0.740541,422,1015,133,0.760360,440,966,164,0.728477,240,1044,286,0.456274,449,966,155,0.743377,456,966,148,0.754967,439,966,165,0.726821,430,955,185,0.699187,233,1055,282,0.452427,S-measured
