run_id,scene,ray_distribution,depth_band,band_lo,band_hi,max_depth,discordant_pairs,share_of_pairs,directional_mean_fill_win_rate,directional_win_rate,surface_density_win_rate,box_projected_ratio_win_rate,primitive_count_win_rate,directional_mean_fill_decided,directional_decided,surface_density_decided,box_projected_ratio_decided,primitive_count_decided
e2e4_2026_09_02,hairball.obj,diffuse_1,0-3,0,3,34,1913,0.089276,nan,0.590695,0.592263,0.445896,0.530580,0,1913,1913,1913,1913
e2e4_2026_09_02,hairball.obj,diffuse_1,4-7,4,7,34,2596,0.121150,0.598517,0.535824,0.535054,0.534284,0.535439,944,2596,2596,2596,2596
e2e4_2026_09_02,hairball.obj,diffuse_1,8-11,8,11,34,4003,0.186812,0.562193,0.546090,0.544342,0.486385,0.533983,2846,4003,4003,4003,4002
e2e4_2026_09_02,hairball.obj,diffuse_1,12-15,12,15,34,4316,0.201419,0.581715,0.583642,0.578313,0.473587,0.559742,4222,4316,4316,4316,4193
e2e4_2026_09_02,hairball.obj,diffuse_1,16-23,16,23,34,8582,0.400504,0.591004,0.612911,0.597879,0.548357,0.614904,8582,8582,8582,8582,5287
e2e4_2026_09_02,hairball.obj,diffuse_1,24-31,24,31,34,18,0.000840,0.277778,0.277778,0.277778,0.444444,nan,18,18,18,18,0
e2e4_2026_09_02,hairball.obj,incoherent,0-3,0,3,34,175382,0.084880,nan,0.515344,0.516769,0.508906,0.541418,0,175382,175382,175382,175382
e2e4_2026_09_02,hairball.obj,incoherent,4-7,4,7,34,256506,0.124142,0.638689,0.594247,0.594321,0.518522,0.594107,87642,256506,256506,256506,256506
e2e4_2026_09_02,hairball.obj,incoherent,8-11,8,11,34,373114,0.180578,0.578107,0.555299,0.554624,0.491064,0.548270,228826,373114,373114,373114,372446
e2e4_2026_09_02,hairball.obj,incoherent,12-15,12,15,34,403258,0.195167,0.583032,0.580975,0.579269,0.478783,0.552072,374242,403258,403258,403254,393389
e2e4_2026_09_02,hairball.obj,incoherent,16-23,16,23,34,852836,0.412751,0.586274,0.607853,0.589977,0.552847,0.613666,852208,852836,852836,852798,533419
e2e4_2026_09_02,hairball.obj,incoherent,24-31,24,31,34,5129,0.002482,0.551764,0.585299,0.564827,0.537832,0.668081,5129,5129,5129,5128,943
e2e4_2026_09_02,hairball.obj,primary,0-3,0,3,34,2434,0.113680,nan,0.506163,0.506163,0.533279,0.506574,0,2434,2434,2434,2434
e2e4_2026_09_02,hairball.obj,primary,4-7,4,7,34,3077,0.143711,0.616482,0.562886,0.562236,0.499188,0.563536,1262,3077,3077,3077,3077
e2e4_2026_09_02,hairball.obj,primary,8-11,8,11,34,4279,0.199851,0.581464,0.570460,0.568357,0.474410,0.564841,3388,4279,4279,4279,4272
e2e4_2026_09_02,hairball.obj,primary,12-15,12,15,34,3868,0.180655,0.602733,0.602120,0.601344,0.466649,0.570354,3806,3868,3868,3868,3724
e2e4_2026_09_02,hairball.obj,primary,16-23,16,23,34,7741,0.361543,0.592817,0.618783,0.597985,0.565302,0.628491,7741,7741,7741,7741,4619
e2e4_2026_09_02,hairball.obj,primary,24-31,24,31,34,12,0.000560,0.750000,0.583333,0.583333,0.666667,1.000000,12,12,12,12,1
e2e4_2026_09_02,hairball.obj,shadow_ao,0-3,0,3,34,1337,0.072041,nan,0.584144,0.583396,0.464473,0.545999,0,1337,1337,1337,1337
e2e4_2026_09_02,hairball.obj,shadow_ao,4-7,4,7,34,2306,0.124252,0.602477,0.548135,0.548135,0.535559,0.549003,888,2306,2306,2306,2306
e2e4_2026_09_02,hairball.obj,shadow_ao,8-11,8,11,34,3784,0.203890,0.567050,0.554968,0.557875,0.482558,0.547185,2871,3784,3784,3784,3783
e2e4_2026_09_02,hairball.obj,shadow_ao,12-15,12,15,34,3902,0.210248,0.591291,0.595079,0.589954,0.470784,0.549987,3812,3902,3902,3902,3771
e2e4_2026_09_02,hairball.obj,shadow_ao,16-23,16,23,34,7220,0.389030,0.588309,0.609972,0.597922,0.554709,0.615437,7219,7220,7220,7220,4379
e2e4_2026_09_02,hairball.obj,shadow_ao,24-31,24,31,34,10,0.000539,0.500000,0.300000,0.300000,0.700000,1.000000,10,10,10,10,1
e2e4_2026_09_02,intel-sponza.obj,diffuse_1,0-3,0,3,31,385,0.176444,0.475410,0.477922,0.483117,0.402597,0.498701,61,385,385,385,385
e2e4_2026_09_02,intel-sponza.obj,diffuse_1,4-7,4,7,31,289,0.132447,0.668033,0.633218,0.595156,0.335640,0.605536,244,289,289,289,289
e2e4_2026_09_02,intel-sponza.obj,diffuse_1,8-11,8,11,31,327,0.149863,0.597315,0.582524,0.585761,0.407767,0.565836,298,309,309,309,281
e2e4_2026_09_02,intel-sponza.obj,diffuse_1,12-15,12,15,31,486,0.222731,0.546539,0.549763,0.571090,0.508393,0.496774,419,422,422,417,310
e2e4_2026_09_02,intel-sponza.obj,diffuse_1,16-23,16,23,31,694,0.318057,0.505988,0.553731,0.511144,0.544361,0.532847,668,670,673,665,274
