run_id,git_commit,dirty,scene,scene_sha256,triangles,builder,bins,max_leaf_size,layout,mode,threads,nodes,max_depth,ray_set,ray_seed,ray_seed_value,rayset_hash,width,height,incoherent_count,query_kind,validation,rays,rays_with_pairs,parent_visits,candidate_events,candidate_events_in_pair_rows,valid_candidate_events,relevant_hit_events,false_positive_events,invalid_events,saturated_events,invalid_rate,saturation_rate,false_positive_rate,discordant_pairs,directional_correct,directional_ties,directional_accuracy,surface_density_correct,surface_density_ties,surface_density_accuracy,primitive_count_correct,primitive_count_ties,primitive_count_accuracy,box_surface_ratio_correct,box_surface_ratio_ties,box_surface_ratio_accuracy,box_projected_ratio_correct,box_projected_ratio_ties,box_projected_ratio_accuracy,directional_mean_fill_correct,directional_mean_fill_ties,directional_mean_fill_accuracy,directional_min_fill_correct,directional_min_fill_ties,directional_min_fill_accuracy,fill_mean_clamp_a0_correct,fill_mean_clamp_a0_ties,fill_mean_clamp_a0_accuracy,fill_mean_clamp_a05_correct,fill_mean_clamp_a05_ties,fill_mean_clamp_a05_accuracy,fill_mean_clamp_a2_correct,fill_mean_clamp_a2_ties,fill_mean_clamp_a2_accuracy,fill_mean_exp_correct,fill_mean_exp_ties,fill_mean_exp_accuracy,fill_min_clamp_correct,fill_min_clamp_ties,fill_min_clamp_accuracy,directional_ci_lo,directional_ci_hi,ci_valid,best_control,best_control_accuracy,delta_pp,delta_ci_lo_pp,delta_ci_hi_pp,probe_node_steps,probe_prim_steps,probe_box_tests,probe_tri_tests,false_positive_node_steps,false_positive_prim_steps,false_positive_box_tests,false_positive_tri_tests,trace_node_steps,trace_prim_steps,trace_box_tests,trace_tri_tests,trace_max_stack,trace_hits,support_ok,support_min_valid_events,support_min_pairs,bootstrap_seed,bootstrap_samples,analysis_ms,descriptor_ms,source_analytic,source_probe_steps,source_trace_steps
e2e4_2026_09_02,ca4d67f,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,3746948,binned_sah,32,1,bvh2/slot32_aos,robust,1,7493895,31,primary,A,11400714819323198485,8269058876172130199,128,128,262144,closest_improves_incumbent,oracle_sample_match,16384,4571,124248,140031,135246,140031,91216,48815,0,70845,0.000000,0.505924,0.348601,16423,7481,3797,0.455520,8080,3760,0.491993,4493,7174,0.273580,7028,4705,0.427936,7076,4605,0.430859,5794,6388,0.352798,6052,4568,0.368508,5598,6437,0.340863,5748,6300,0.349997,5839,6331,0.355538,7423,3781,0.451988,4691,7080,0.285636,0.447830,0.463044,1,surface_density,0.491993,-3.6473,-4.2114,-3.0841,1094533,302427,2189066,302427,167893,53755,335786,53755,124248,17267,232112,17267,15,4571,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,92.2,209.8,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
e2e4_2026_09_02,ca4d67f,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,3746948,binned_sah,32,1,bvh2/slot32_aos,robust,1,7493895,31,shadow_ao,A,11400714819323198485,13059770834929451202,1024,1024,262144,any_occluder_in_range,oracle_sample_match,292513,7861,2269343,2387275,436063,2387275,163286,2223989,0,1011919,0.000000,0.423880,0.931602,43359,22530,1545,0.519615,22506,1439,0.519062,16990,11241,0.391845,19628,1634,0.452686,19296,1627,0.445029,20095,9019,0.463456,21457,2240,0.494868,18672,9429,0.430637,19920,9014,0.459420,20021,9032,0.461750,22901,1508,0.528172,18236,9723,0.420582,0.514864,0.524364,1,fill_mean_exp,0.528172,-0.8556,-1.2271,-0.4836,22119350,7459603,44238700,7459603,19030668,6367294,38061336,6367294,2269343,377971,4246173,377971,13,7866,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,1101.0,209.8,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
e2e4_2026_09_02,ca4d67f,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,3746948,binned_sah,32,1,bvh2/slot32_aos,robust,1,7493895,31,shadow_ao,B,14029467366897019727,10273955076000355927,1024,1024,262144,any_occluder_in_range,oracle_sample_match,292513,8088,2269434,2388416,455194,2388416,169111,2219305,0,1011389,0.000000,0.423456,0.929195,45005,23510,1531,0.522386,23405,1427,0.520053,17868,11537,0.397023,20345,1646,0.452061,20013,1642,0.444684,20914,9285,0.464704,22402,2193,0.497767,19514,9637,0.433596,20692,9270,0.459771,20798,9287,0.462126,23809,1492,0.529030,19066,9946,0.423642,0.517656,0.526960,1,fill_mean_exp,0.529030,-0.6644,-1.0515,-0.3062,22148074,7467786,44296148,7467786,18914586,6306213,37829172,6306213,2269434,377915,4246355,377915,13,8094,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,1107.1,209.8,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
e2e4_2026_09_02,ca4d67f,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,3746948,binned_sah,32,1,bvh2/slot32_aos,robust,1,7493895,31,diffuse_1,A,11400714819323198485,6850038901228734019,128,128,262144,closest_improves_incumbent,oracle_sample_match,4571,169,39209,41748,12714,41748,4322,37426,0,17601,0.000000,0.421601,0.896474,1109,593,50,0.534716,563,47,0.507665,419,312,0.377818,493,53,0.444545,510,52,0.459874,476,246,0.429216,560,70,0.504959,472,257,0.425609,478,245,0.431019,488,245,0.440036,591,50,0.532913,459,263,0.413886,0.502691,0.563819,1,fill_mean_exp,0.532913,0.1803,-2.3643,2.4186,394947,128769,789894,128769,310630,104421,621260,104421,39209,6524,73847,6524,14,169,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,42.7,209.8,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
e2e4_2026_09_02,ca4d67f,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,3746948,binned_sah,32,1,bvh2/slot32_aos,robust,1,7493895,31,diffuse_1,B,14029467366897019727,4471768159497229620,128,128,262144,closest_improves_incumbent,oracle_sample_match,4571,168,38526,40850,11537,40850,4324,36526,0,17548,0.000000,0.429572,0.894149,1073,558,56,0.520037,561,56,0.522833,407,331,0.379310,450,65,0.419385,443,64,0.412861,462,245,0.430568,533,77,0.496738,442,252,0.411929,450,244,0.419385,473,246,0.440820,558,57,0.520037,442,264,0.411929,0.491409,0.546724,1,surface_density,0.522833,-0.2796,-2.8125,2.0755,381794,125001,763588,125001,304571,103930,609142,103930,38526,6337,72481,6337,13,168,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,41.8,209.8,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
e2e4_2026_09_02,ca4d67f,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,3746948,binned_sah,32,1,bvh2/slot32_aos,robust,1,7493895,31,incoherent,A,11400714819323198485,4467259490657145187,128,128,262144,closest_improves_incumbent,oracle_sample_match,262144,243424,8012435,8949938,8716738,8949938,4836660,4113278,0,4885616,0.000000,0.545883,0.459587,984417,514484,108979,0.522628,524845,102487,0.533153,354210,315621,0.359817,404265,150769,0.410664,410085,146942,0.416577,402547,317840,0.408919,465239,150528,0.472604,381604,324876,0.387645,403006,311834,0.409385,401777,317023,0.408137,518247,108752,0.526451,355841,353306,0.361474,0.521667,0.523551,1,surface_density,0.533153,-1.0525,-1.1299,-0.9767,74259419,13833200,148518838,13833200,15661034,2125328,31322068,2125328,8012435,748258,15762726,748258,18,243457,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,4836.2,209.8,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
e2e4_2026_09_02,ca4d67f,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,3746948,binned_sah,32,1,bvh2/slot32_aos,robust,1,7493895,31,incoherent,B,14029467366897019727,1820974080651448798,128,128,262144,closest_improves_incumbent,oracle_sample_match,262144,243401,8008518,8944092,8712206,8944092,4833452,4110640,0,4888593,0.000000,0.546572,0.459593,983934,513727,109115,0.522115,523657,102686,0.532207,353907,315471,0.359686,404593,150809,0.411199,410396,146979,0.417097,401909,318281,0.408472,464832,150480,0.472422,380633,325116,0.386848,402418,312235,0.408989,400869,317342,0.407415,517702,108995,0.526155,355275,353371,0.361076,0.521158,0.523118,1,surface_density,0.532207,-1.0092,-1.0865,-0.9247,74221498,13797053,148442996,13797053,15662905,2095428,31325810,2095428,8008518,745913,15754892,745913,18,243439,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,4782.4,209.8,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
e2e4_2026_09_02,ca4d67f,1,hairball.obj,1fc018d947fbd9d5099dea9bc104ae38a708f25ac2dedeb1f5b722ac79b96465,2880000,binned_sah,32,1,bvh2/slot32_aos,robust,1,5759999,34,primary,A,11400714819323198485,15603933574072774811,128,128,262144,closest_improves_incumbent,oracle_sample_match,16384,2259,326650,408327,325782,408327,59096,349231,0,89950,0.000000,0.220289,0.855273,21411,12531,0,0.585260,12356,0,0.577087,10408,3284,0.486105,11005,0,0.513988,11053,0,0.516230,9640,5202,0.450236,12145,0,0.567232,9574,5202,0.447153,9634,5202,0.449956,9658,5202,0.451077,12374,0,0.577927,9487,5202,0.443090,0.579178,0.591760,1,fill_mean_exp,0.577927,0.7333,0.4081,1.0477,4748559,2059440,9497118,2059440,2353627,1077748,4707254,1077748,326650,86142,636916,86142,19,2259,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,296.5,118.5,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
e2e4_2026_09_02,ca4d67f,1,hairball.obj,1fc018d947fbd9d5099dea9bc104ae38a708f25ac2dedeb1f5b722ac79b96465,2880000,binned_sah,32,1,bvh2/slot32_aos,robust,1,5759999,34,shadow_ao,A,11400714819323198485,6038965400659644694,128,128,262144,any_occluder_in_range,oracle_sample_match,2259,1210,148199,191568,106656,191568,29134,162434,0,40133,0.000000,0.209497,0.847918,9336,5479,0,0.586868,5426,0,0.581191,4436,1486,0.475150,4702,0,0.503642,4815,0,0.515746,4404,1847,0.471722,5361,0,0.574229,4389,1847,0.470116,4402,1847,0.471508,4408,1847,0.472151,5395,0,0.577871,4355,1847,0.466474,0.576923,0.596423,1,surface_density,0.581191,0.5677,0.0428,1.0792,2186908,896498,4373816,896498,1388583,618525,2777166,618525,148199,39015,294139,39015,14,1210,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,120.8,118.5,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
e2e4_2026_09_02,ca4d67f,1,hairball.obj,1fc018d947fbd9d5099dea9bc104ae38a708f25ac2dedeb1f5b722ac79b96465,2880000,binned_sah,32,1,bvh2/slot32_aos,robust,1,5759999,34,shadow_ao,B,14029467366897019727,12098494441538982105,128,128,262144,any_occluder_in_range,oracle_sample_match,2259,1196,148560,191344,104221,191344,28733,162611,0,39867,0.000000,0.208352,0.849836,9223,5395,0,0.584951,5351,0,0.580180,4400,1496,0.477068,4593,0,0.497994,4716,0,0.511330,4265,1912,0.462431,5236,0,0.567711,4217,1912,0.457226,4233,1912,0.458961,4269,1912,0.462865,5329,0,0.577795,4219,1912,0.457443,0.575811,0.594702,1,surface_density,0.580180,0.4771,-0.0656,0.9927,2180677,880485,4361354,880485,1396197,614423,2792394,614423,148560,38410,294861,38410,13,1197,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,126.1,118.5,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
