run_id,scene,ray_distribution,score_a,score_b,win_rate_a,win_rate_b,delta,delta_ci_lo,delta_ci_hi,a_beats_b,bootstrap_resamples,bootstrap_seed,cluster_unit,cluster_population,pairing
gateb_2026_09_02,hairball.obj,diffuse_1,directional,box_projected_ratio,0.582929,0.510780,0.072149,0.063173,0.081489,yes,1000,0xD1A70000D1A70000,ray,4518,paired
gateb_2026_09_02,hairball.obj,diffuse_1,directional,surface_density,0.582929,0.575555,0.007374,0.003715,0.011350,yes,1000,0xD1A70000D1A70000,ray,4518,paired
gateb_2026_09_02,hairball.obj,diffuse_1,directional,primitive_count,0.582929,0.563615,0.019314,0.013182,0.025798,yes,1000,0xD1A70000D1A70000,ray,4518,paired
gateb_2026_09_02,hairball.obj,diffuse_1,directional_min_fill,directional_mean_fill,0.566922,0.583795,-0.016873,-0.023101,-0.010484,no,1000,0xD1A70000D1A70000,ray,4518,paired
gateb_2026_09_02,hairball.obj,diffuse_1,directional_min_fill,box_projected_ratio,0.566922,0.510780,0.056141,0.047816,0.065490,yes,1000,0xD1A70000D1A70000,ray,4518,paired
gateb_2026_09_02,hairball.obj,diffuse_1,directional_mean_fill,box_projected_ratio,0.583795,0.510780,0.073015,0.063249,0.083334,yes,1000,0xD1A70000D1A70000,ray,4518,paired
gateb_2026_09_02,hairball.obj,diffuse_1,directional_mean_fill,directional,0.583795,0.582929,0.000866,-0.004303,0.006161,inconclusive,1000,0xD1A70000D1A70000,ray,4518,paired
gateb_2026_09_02,hairball.obj,diffuse_1,directional_min_fill,directional,0.566922,0.582929,-0.016007,-0.020793,-0.011107,no,1000,0xD1A70000D1A70000,ray,4518,paired
gateb_2026_09_02,hairball.obj,diffuse_1,directional_mean_fill,surface_density,0.583795,0.575555,0.008239,0.003590,0.013153,yes,1000,0xD1A70000D1A70000,ray,4518,paired
gateb_2026_09_02,hairball.obj,diffuse_1,directional_mean_fill,primitive_count,0.583795,0.563615,0.020180,0.012751,0.027279,yes,1000,0xD1A70000D1A70000,ray,4518,paired
gateb_2026_09_02,hairball.obj,diffuse_1,directional_min_fill,surface_density,0.566922,0.575555,-0.008634,-0.013235,-0.003679,no,1000,0xD1A70000D1A70000,ray,4518,paired
gateb_2026_09_02,hairball.obj,incoherent,directional,box_projected_ratio,0.583520,0.519207,0.064313,0.063315,0.065267,yes,1000,0xD1A70000D1A70000,ray,524288,paired
gateb_2026_09_02,hairball.obj,incoherent,directional,surface_density,0.583520,0.575766,0.007754,0.007368,0.008080,yes,1000,0xD1A70000D1A70000,ray,524288,paired
gateb_2026_09_02,hairball.obj,incoherent,directional,primitive_count,0.583520,0.575432,0.008088,0.007470,0.008727,yes,1000,0xD1A70000D1A70000,ray,524288,paired
gateb_2026_09_02,hairball.obj,incoherent,directional_min_fill,directional_mean_fill,0.568207,0.587136,-0.018929,-0.019554,-0.018338,no,1000,0xD1A70000D1A70000,ray,524288,paired
gateb_2026_09_02,hairball.obj,incoherent,directional_min_fill,box_projected_ratio,0.568207,0.519207,0.049000,0.047990,0.049935,yes,1000,0xD1A70000D1A70000,ray,524288,paired
gateb_2026_09_02,hairball.obj,incoherent,directional_mean_fill,box_projected_ratio,0.587136,0.519207,0.067929,0.066992,0.068927,yes,1000,0xD1A70000D1A70000,ray,524288,paired
gateb_2026_09_02,hairball.obj,incoherent,directional_mean_fill,directional,0.587136,0.583520,0.003616,0.003039,0.004187,yes,1000,0xD1A70000D1A70000,ray,524288,paired
gateb_2026_09_02,hairball.obj,incoherent,directional_min_fill,directional,0.568207,0.583520,-0.015313,-0.015792,-0.014847,no,1000,0xD1A70000D1A70000,ray,524288,paired
gateb_2026_09_02,hairball.obj,incoherent,directional_mean_fill,surface_density,0.587136,0.575766,0.011369,0.010820,0.011904,yes,1000,0xD1A70000D1A70000,ray,524288,paired
gateb_2026_09_02,hairball.obj,incoherent,directional_mean_fill,primitive_count,0.587136,0.575432,0.011703,0.010915,0.012455,yes,1000,0xD1A70000D1A70000,ray,524288,paired
gateb_2026_09_02,hairball.obj,incoherent,directional_min_fill,surface_density,0.568207,0.575766,-0.007560,-0.008019,-0.007081,no,1000,0xD1A70000D1A70000,ray,524288,paired
gateb_2026_09_02,hairball.obj,primary,directional,box_projected_ratio,0.585260,0.516230,0.069030,0.060081,0.078329,yes,1000,0xD1A70000D1A70000,ray,16384,paired
gateb_2026_09_02,hairball.obj,primary,directional,surface_density,0.585260,0.577087,0.008173,0.005272,0.011415,yes,1000,0xD1A70000D1A70000,ray,16384,paired
gateb_2026_09_02,hairball.obj,primary,directional,primitive_count,0.585260,0.574171,0.011089,0.004844,0.017738,yes,1000,0xD1A70000D1A70000,ray,16384,paired
gateb_2026_09_02,hairball.obj,primary,directional_min_fill,directional_mean_fill,0.567232,0.594731,-0.027500,-0.033259,-0.021734,no,1000,0xD1A70000D1A70000,ray,16384,paired
gateb_2026_09_02,hairball.obj,primary,directional_min_fill,box_projected_ratio,0.567232,0.516230,0.051002,0.042039,0.059796,yes,1000,0xD1A70000D1A70000,ray,16384,paired
gateb_2026_09_02,hairball.obj,primary,directional_mean_fill,box_projected_ratio,0.594731,0.516230,0.078501,0.069550,0.087516,yes,1000,0xD1A70000D1A70000,ray,16384,paired
gateb_2026_09_02,hairball.obj,primary,directional_mean_fill,directional,0.594731,0.585260,0.009471,0.004678,0.014620,yes,1000,0xD1A70000D1A70000,ray,16384,paired
gateb_2026_09_02,hairball.obj,primary,directional_min_fill,directional,0.567232,0.585260,-0.018028,-0.022009,-0.013586,no,1000,0xD1A70000D1A70000,ray,16384,paired
gateb_2026_09_02,hairball.obj,primary,directional_mean_fill,surface_density,0.594731,0.577087,0.017645,0.013041,0.022710,yes,1000,0xD1A70000D1A70000,ray,16384,paired
