run_id,git_commit,dirty,scene,variant,loss_kind,mu,depth_band,band_nodes,band_visits_reference,changed_nodes,changed_visits_reference,changed_nodes_pct_of_band,changed_visits_pct_of_band,share_of_changed_visits,share_of_reference_visits,source
gatec_2026_09_02,ca4d67f,1,intel-sponza.obj,scalar_mu0.25,sah+Lscalar,0.2500,0-3,15,4421415,0,0,0.0000,0.0000,0.000000,0.125454,S-measured
gatec_2026_09_02,ca4d67f,1,intel-sponza.obj,scalar_mu0.25,sah+Lscalar,0.2500,4-7,240,10028375,5,1137461,2.0833,11.3424,0.292907,0.284547,S-measured
gatec_2026_09_02,ca4d67f,1,intel-sponza.obj,scalar_mu0.25,sah+Lscalar,0.2500,8-11,3800,11044126,180,1979431,4.7368,17.9229,0.509723,0.313369,S-measured
gatec_2026_09_02,ca4d67f,1,intel-sponza.obj,scalar_mu0.25,sah+Lscalar,0.2500,12-15,51312,4770491,3072,691824,5.9869,14.5022,0.178152,0.135359,S-measured
gatec_2026_09_02,ca4d67f,1,intel-sponza.obj,scalar_mu0.25,sah+Lscalar,0.2500,16-23,4246456,4686205,107503,74271,2.5316,1.5849,0.019126,0.132967,S-measured
gatec_2026_09_02,ca4d67f,1,intel-sponza.obj,scalar_mu0.25,sah+Lscalar,0.2500,24-31,3192072,292642,20107,359,0.6299,0.1227,0.000092,0.008303,S-measured
gatec_2026_09_02,ca4d67f,1,intel-sponza.obj,scalar_mu0.50,sah+Lscalar,0.5000,0-3,15,4421415,0,0,0.0000,0.0000,0.000000,0.125454,S-measured
gatec_2026_09_02,ca4d67f,1,intel-sponza.obj,scalar_mu0.50,sah+Lscalar,0.5000,4-7,240,10028375,11,1452682,4.5833,14.4857,0.324217,0.284547,S-measured
gatec_2026_09_02,ca4d67f,1,intel-sponza.obj,scalar_mu0.50,sah+Lscalar,0.5000,8-11,3800,11044126,388,2160678,10.2105,19.5640,0.482231,0.313369,S-measured
gatec_2026_09_02,ca4d67f,1,intel-sponza.obj,scalar_mu0.50,sah+Lscalar,0.5000,12-15,51312,4770491,5137,729764,10.0113,15.2975,0.162872,0.135359,S-measured
gatec_2026_09_02,ca4d67f,1,intel-sponza.obj,scalar_mu0.50,sah+Lscalar,0.5000,16-23,4246456,4686205,175048,136894,4.1222,2.9212,0.030553,0.132967,S-measured
gatec_2026_09_02,ca4d67f,1,intel-sponza.obj,scalar_mu0.50,sah+Lscalar,0.5000,24-31,3192072,292642,32790,570,1.0272,0.1948,0.000127,0.008303,S-measured
gatec_2026_09_02,ca4d67f,1,intel-sponza.obj,scalar_mu1.00,sah+Lscalar,1.0000,0-3,15,4421415,2,78314,13.3333,1.7712,0.015168,0.125454,S-measured
gatec_2026_09_02,ca4d67f,1,intel-sponza.obj,scalar_mu1.00,sah+Lscalar,1.0000,4-7,240,10028375,50,2243031,20.8333,22.3668,0.434443,0.284547,S-measured
gatec_2026_09_02,ca4d67f,1,intel-sponza.obj,scalar_mu1.00,sah+Lscalar,1.0000,8-11,3800,11044126,657,2120090,17.2895,19.1965,0.410631,0.313369,S-measured
gatec_2026_09_02,ca4d67f,1,intel-sponza.obj,scalar_mu1.00,sah+Lscalar,1.0000,12-15,51312,4770491,7963,510009,15.5188,10.6909,0.098782,0.135359,S-measured
gatec_2026_09_02,ca4d67f,1,intel-sponza.obj,scalar_mu1.00,sah+Lscalar,1.0000,16-23,4246456,4686205,255211,210417,6.0100,4.4901,0.040755,0.132967,S-measured
