run_id,git_commit,dirty,scene,candidate,view,pos_x,pos_y,pos_z,target_x,target_y,target_z,up_x,up_y,up_z,focal,dir_x,dir_y,dir_z,screen_res,hit_fraction,median_hit_over_diagonal,p10_hit_over_diagonal,accepted,reject_reason,scene_diagonal
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,0,A,-557.800659,-323.061493,-185.507996,-351.455750,-231.991867,-233.778076,0.000000,1.000000,0.000000,50.000,0.894603,0.394830,-0.209274,64,1.00000,0.05519,0.03586,1,,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,1,B,-353.610291,-236.653381,-226.340622,-297.571625,27.589741,-135.028412,0.000000,1.000000,0.000000,50.000,0.196533,0.926726,0.320241,64,1.00000,0.08135,0.07171,1,,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,2,,-298.456421,-180.159576,-229.366058,-561.814209,-206.531616,13.437216,0.000000,1.000000,0.000000,50.000,-0.733231,-0.073424,0.676004,64,1.00000,0.00279,0.00181,0,median hit distance too short,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,3,,-401.190094,-172.872604,-200.171249,-406.362793,-2.464098,27.170200,0.000000,1.000000,0.000000,50.000,-0.018203,0.599681,0.800032,64,1.00000,0.04578,0.01702,0,median hit distance too short,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,4,,-355.851105,-102.839134,-183.776581,-332.224091,319.929199,-95.081528,0.000000,0.000000,1.000000,50.000,0.054614,0.977233,0.205019,64,1.00000,0.01097,0.01054,0,median hit distance too short,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,5,,-385.091339,-81.259933,-230.493011,-60.457726,-112.233215,-181.690842,0.000000,1.000000,0.000000,50.000,0.984516,-0.093933,0.148002,64,1.00000,0.00302,0.00141,0,median hit distance too short,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,6,C,-369.184174,-14.497621,-226.940140,-289.073914,20.894575,-3.952951,0.000000,1.000000,0.000000,50.000,0.334393,0.147732,0.930783,64,1.00000,0.13730,0.06644,1,,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,7,,-346.768616,-54.365891,-226.916412,-59.830074,-53.344265,-129.318848,0.000000,1.000000,0.000000,50.000,0.946729,0.003371,0.322015,64,1.00000,0.15483,0.09302,1,,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,8,,-331.770111,-46.451527,-227.927765,-59.743126,31.819466,-108.433029,0.000000,1.000000,0.000000,50.000,0.885354,0.254745,0.388914,64,1.00000,0.19268,0.12509,1,,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,9,,-345.836975,14.303707,-234.458801,-148.779541,307.675598,-103.007019,0.000000,1.000000,0.000000,50.000,0.522608,0.778040,0.348618,64,1.00000,0.04483,0.00109,0,median hit distance too short,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,10,,-401.118134,-21.256140,-203.637344,-413.029419,-250.025604,150.844925,0.000000,1.000000,0.000000,50.000,-0.028222,-0.542030,0.839885,64,1.00000,0.04961,0.01857,0,median hit distance too short,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,11,,-401.267670,-78.458969,-173.048187,-288.049408,-138.545166,87.179535,0.000000,1.000000,0.000000,50.000,0.390298,-0.207136,0.897085,64,1.00000,0.01701,0.00878,0,median hit distance too short,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,12,,-401.824402,-58.093475,-165.517502,-275.070282,21.374458,106.478577,0.000000,1.000000,0.000000,50.000,0.408325,0.255997,0.876206,64,1.00000,0.18699,0.11433,1,,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,13,,-405.993073,15.624682,-165.014847,-302.615173,90.582359,147.240356,0.000000,1.000000,0.000000,50.000,0.306436,0.222192,0.925596,64,1.00000,0.00483,0.00303,0,median hit distance too short,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,14,,-400.664673,7.786982,-168.218918,-190.759872,-243.063034,229.388641,0.000000,1.000000,0.000000,50.000,0.407696,-0.487223,0.772268,64,1.00000,0.10250,0.08198,1,,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,15,,-303.753906,-66.673820,-129.646515,-215.293198,-50.474464,226.162018,0.000000,1.000000,0.000000,50.000,0.241039,0.044140,0.969511,64,1.00000,0.03001,0.01806,0,median hit distance too short,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,16,,-325.918457,63.080212,-228.729721,-120.243187,28.638258,97.077904,0.000000,1.000000,0.000000,50.000,0.531691,-0.089036,0.842245,64,1.00000,0.07650,0.05636,1,,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,17,,-348.876160,100.220169,-179.870712,-192.699677,327.350311,122.692711,0.000000,1.000000,0.000000,50.000,0.381573,0.554928,0.739228,64,1.00000,0.00319,0.00254,0,median hit distance too short,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,18,,-548.440491,342.472778,-161.075836,4.793025,32.253906,-235.814682,0.000000,1.000000,0.000000,50.000,0.866239,-0.485733,-0.117024,64,1.00000,0.00782,0.00706,0,median hit distance too short,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,19,,-413.446594,325.334442,-137.092667,77.702759,-94.605911,-103.701897,0.000000,1.000000,0.000000,50.000,0.759042,-0.648993,0.051603,64,1.00000,0.10367,0.08911,1,,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,20,,-515.184937,370.750793,-210.824890,235.767990,-47.973961,-110.784424,0.000000,1.000000,0.000000,50.000,0.867549,-0.483738,0.115573,64,1.00000,0.00126,0.00094,0,median hit distance too short,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,21,,-424.079468,370.388031,-210.272995,175.025574,38.805492,-100.910156,0.000000,1.000000,0.000000,50.000,0.863983,-0.478183,0.157715,64,1.00000,0.00055,0.00041,0,median hit distance too short,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,22,,-297.514038,367.755249,-208.891388,90.237328,73.120102,-105.916229,0.000000,1.000000,0.000000,50.000,0.778993,-0.591922,0.206877,64,1.00000,0.05673,0.04146,1,,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,23,,-567.558960,-283.437134,40.872833,28.736725,-173.337936,96.449120,0.000000,1.000000,0.000000,50.000,0.979274,0.180812,0.091271,64,1.00000,0.33285,0.08418,1,,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,24,,-567.047119,-228.948563,-15.381841,68.668846,161.604523,102.951439,0.000000,1.000000,0.000000,50.000,0.841532,0.516997,0.156644,64,1.00000,0.00181,0.00167,0,median hit distance too short,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,25,,-564.688965,-219.514816,-23.608297,166.736374,-103.059593,101.089188,0.000000,1.000000,0.000000,50.000,0.973855,0.155054,0.166028,64,1.00000,0.48773,0.16450,1,,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,26,,-555.493774,-215.443954,7.439503,247.895844,-56.149017,100.662094,0.000000,1.000000,0.000000,50.000,0.974611,0.193245,0.113091,64,1.00000,0.41945,0.14579,1,,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,27,,-560.367065,-190.028000,-26.695236,232.475006,31.052135,122.685204,0.000000,1.000000,0.000000,50.000,0.947770,0.264281,0.178571,64,1.00000,0.15661,0.08938,1,,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,28,,-562.365112,-190.906418,23.486334,237.359497,184.604126,105.638168,0.000000,1.000000,0.000000,50.000,0.901293,0.423202,0.092585,64,1.00000,0.08507,0.06790,1,,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,29,,-562.487854,-178.093796,-23.809242,320.106323,-174.130707,-139.791473,0.000000,1.000000,0.000000,50.000,0.991466,0.004452,-0.130289,64,0.99829,0.33319,0.08680,1,,1719.002808
