run_id,git_commit,dirty,scene,triangles,width,collapse_method,max_leaf_size,binary_nodes,binary_depth,wide_nodes,wide_interior,wide_leaves,emitted_depth,mean_fullness,collapse_s,scratch_bytes,scratch_mb,legacy_scratch_bytes,legacy_scratch_mb,scratch_ratio_legacy_over_new,required_stack,bvh2_stack_size,stack_bound_ok,wide_bytes,rss_before_mb,peak_rss_mb,source
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,3746948,4,dp,1,7493895,31,5232781,1485833,3746948,20,3.5218,0.623,359706960,343.0,1978388280,1886.7,5.50,61,1024,1,167448992,862.8,1445.8,S-measured
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,3746948,8,dp,1,7493895,31,4484656,737708,3746948,14,6.0792,0.766,599511600,571.7,1978388280,1886.7,3.30,99,1024,1,143508992,862.8,1651.6,S-measured
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,3746948,16,dp,1,7493895,31,4141627,394679,3746948,11,10.4937,1.163,1079120880,1029.1,1978388280,1886.7,1.83,166,1024,1,132532064,862.8,2098.6,S-measured
phase0_2026_09_01,fc3a28f,1,hairball.obj,2880000,4,dp,1,5759999,34,3985854,1105854,2880000,23,3.6043,0.575,276479952,263.7,1520639736,1450.2,5.50,70,1024,1,127547328,667.3,1132.9,S-measured
phase0_2026_09_01,fc3a28f,1,hairball.obj,2880000,8,dp,1,5759999,34,3409544,529544,2880000,16,6.4386,0.642,460799920,439.5,1520639736,1450.2,3.30,113,1024,1,109105408,667.3,1291.0,S-measured
phase0_2026_09_01,fc3a28f,1,hairball.obj,2880000,16,dp,1,5759999,34,3155558,275558,2880000,14,11.4515,0.996,829439856,791.0,1520639736,1450.2,1.83,211,1024,1,100977856,667.4,1634.9,S-measured
phase0_2026_09_01,fc3a28f,1,bistro.obj,2829873,4,dp,1,5659745,35,3963397,1133524,2829873,24,3.4965,0.572,271667760,259.1,1494172680,1425.0,5.50,73,1024,1,126828704,673.7,1093.9,S-measured
phase0_2026_09_01,fc3a28f,1,bistro.obj,2829873,8,dp,1,5659745,35,3401720,571847,2829873,17,5.9487,0.629,452779600,431.8,1494172680,1425.0,3.30,120,1024,1,108855040,673.8,1249.5,S-measured
phase0_2026_09_01,fc3a28f,1,bistro.obj,2829873,16,dp,1,5659745,35,3147968,318095,2829873,13,9.8963,0.971,815003280,777.2,1494172680,1425.0,1.83,196,1024,1,100734976,673.8,1627.5,S-measured
phase0_2026_09_01,fc3a28f,1,san-miguel.obj,9971513,4,dp,1,19943025,62,13913523,3942010,9971513,54,3.5296,2.110,957265200,912.9,5264958600,5021.1,5.50,163,1024,1,445232736,2540.5,4038.5,S-measured
phase0_2026_09_01,fc3a28f,1,san-miguel.obj,9971513,8,dp,1,19943025,62,11927443,1955930,9971513,49,6.0981,2.216,1595442000,1521.5,5264958600,5021.1,3.30,344,1024,1,381678176,2540.4,4586.7,S-measured
phase0_2026_09_01,fc3a28f,1,san-miguel.obj,9971513,16,dp,1,19943025,62,11025714,1054201,9971513,48,10.4588,3.449,2871795600,2738.8,5264958600,5021.1,1.83,721,1024,1,352822848,2540.4,5776.3,S-measured
